id,id_prerequis,decision_prerequis,emetteur,demande,bouton_accepte,bouton_refus,impact_accept_pop,impact_accept_gouv,impact_accept_lobby,impact_refus_pop,impact_refus_gouv,impact_refus_lobby,probabilite,impact_accepte_texte,impact_refus_texte,Comments
1,,,Propaganda Division,Publish a false report claiming that the Supreme Leader invented the concept of “hard work”,Yes,No,5,0,0,-5,0,0,50,"The people are temporarily impressed by the Leader's ""wisdom;"" even if the information seems doubtful",Citizens; tired of propaganda; lose a little more trust in the regime,
2,1,1,Head of the Censorship Bureau,Censor all references to “hard work” that existed before the birth of the Leader,Yes,No,-10,0,10,10,-5,0,50,The archives are modified to reinforce the myth of the Leader inventing the concept,Mockery over excessive censorship; some citizens begin making jokes online,
3,1,1,Old Lady,I can't keep up ith the new schedules,Pass it on,Leave her unsupported,0,0,0,0,0,0,50,You have been reprimanded.,She seems really sad.,
4,2,1,Security Division,All your emails to the Censorship Bureau have been collected by hackers and circulated on Social Media,Delete access to Social Media,Plan a propaganda,10,5,-10,0,5,0,50,People are in the street; all corporations send reprimands ... but at least they don't talk about the hack at all,Streisand effect won't work if we reapeat that thoses hackers are terrorist,
5,4,0,Propaganda Division,We've been asked to prepare a propaganda plan regarding all the messages you've had with the Censorship Bureau. We have thought of two plans—what would you prefer?,Blood propaganda,Soft propaganda,0,0,0,0,0,0,50,People are in front of the Office's building. The government must violently repress the demonstration,As usual the propaganda works !,
6,5,0,Propaganda Division,This is a classic case of misinformation by rogue actors. Trust us: everything you see online is simply a ploy to destabilize our great nation’s unity!,Publish it,Publish it,0,10,0,0,10,0,100,Keep it up and you'll soon be promoted !,Keep it up and you'll soon be promoted !,
7,5,1,Propaganda Division ,Traitors who undermine our authority are everywhere hiding in plain sight. Their recklessness endangers you all and justice will be swift severe and unmistakable.,Publish it,Publish it,-20,10,0,-20,10,0,100,We're going to send an intervention team,We're going to send an intervention team,
6,,,Association of cooker,Lobsters Case : Hiding a report showing that “strategic planning” meetings consist of luxurious meals,Hide it,Publish it,-5,5,-10,10,-10,0,50,Loyalty among leaders is reinforced; even though citizens suspect unjustified spending,The population is shocked but admires the transparency; leading to increased trust,
7,,,State newspaper “Eternal Glory to the Leader”.,Publish article claiming that the leader can “communicate with birds”,Hide it,Publish it,10,-10,0,-5,5,0,50,Many citizens find this claim ridiculous; further eroding the credibility of propaganda,State propaganda temporarily gains popularity; though it provokes some amused smiles,
8,,,Group of Indignant Mothers,Publish real figures on school success rates; suspected of being exaggerated,Hide it,Publish it,-10,5,0,10,-5,0,50,Mothers mobilize; challenging the truth of official school success rates,Mothers are reassured; but the Ministry of Education loses credibility,
9,8,1,Minister of Education,Modify reports to ensure 99% school success rate,Yes,No,-10,10,0,10,-5,0,50,"""Perfect standards"" are maintained; but the population grows increasingly skeptical",The transparency of figures is praised by citizens; though it weakens the ministry,
10,,,Head of the Censorship Bureau,Confiscate telephones containing satirical memes about the regime,Yes,No,-5,10,0,5,-5,0,50,The regime tightens its control; but mistrust of government surveillance grows.,The population breathes a sigh of relief; rumors of state surveillance are defused.,
11,,,Alliance of Sock Manufacturers,Proclaim “National Work Socks Month”,Yes,No,0,-5,10,5,-5,0,50,Increased support for textile producers; though people are divided between amusement and puzzlement,Citizens see this campaign as a symbol of the regime's bureaucratic rigidity,
12,,,Minister of External Affairs,Issue a press release stating that the Leader has “discovered” a neighboring country,Yes,No,-5,5,0,10,-10,0,50,"Increase in admiration for the Leader; though some laugh at the ""geographic discovery.""",Loss of credibility; international criticism over this dubious claim.,
13,,,Minister of Right-Mindedness,Announce that the Leader is launching a new fashion trend of “compulsory plain socks”,Yes,No,5,-5,10,10,0,0,50,Plain socks become a patriotic symbol; though they spark some popular mockery.,The public is pleased with the lack of strict dress code; feeling generally relieved.,
14,13,1,Minister of Right-Mindedness,Distribute “certificates of patriotism” for those who wear plain socks,Yes,No,-10,5,5,10,-10,-5,50,Some citizens are enthusiastic; but others see this action as an attempt at control,Citizens ignore this proposal; mocking the rigidity of this new patriotic requirement.,
15,,,Propaganda Division ,Publish an article explaining that the Leader invented “clean air”,Yes,No,0,5,-5,5,-5,0,50,Citizens ignore this proposal; mocking the rigidity of this new patriotic requirement.,The population feels somewhat reassured; finding the situation less absurd than usual.,
16,15,1,Ministry of the Environment,Ban the production of fans and air conditioners,Yes,No,-10,5,0,10,-10,0,50,Citizens are forced to adapt; though the ministry loses credibility over its decisions.,The public finds it ridiculous and questions the management of essential goods.,
17,16,1,Old Lady,It's to hot for me; my doctor gives me 2 weeks to live,Offer collector plain socks,Leave her unsupported,0,0,0,0,0,0,50,She doesn't seem to realize how lucky she is.,She seems really sad.,
18,,,Concerned Parents Group,Request statistics on children's candy consumption,Yes,No,10,-5,0,-5,5,0,50,The public welcomes this transparency; though the government sees it as a low priority.,Parents grow suspicious and band together; increasing demand for information about children.,
19,,,Minister of Right-Mindedness,Announcing that the Leader eats only “patriotic bread”,Yes,No,5,0,10,10,-5,0,50,The population is intrigued; and bakers see their sales increase despite the criticism.,The public mocks this eccentricity; calling the regime absurd.,
20,16,1,Federation of Official Air Conditioners,Request authorization to resell confiscated old fans,Yes,No,5,0,10,5,-5,0,50,The population appreciates the recycling initiative; though sales remain controlled.,Citizens are unhappy with the confiscation without recycling options; fueling further criticism.,
21,,,Propaganda Division ,Publish report stating that record harvest is due to “encouragement” from the Leader,Yes,No,5,5,0,-5,-10,0,50,Citizens see the Leader as an “agricultural savior;” boosting his popularity.,Farmers complain about a lack of recognition; and some refuse to participate in ceremonies.,
22,21,0,Minister of Agriculture,Organize an agricultural festival in the Leader's honor to correct tension with farmers,Yes,No,5,-5,5,-10,-10,0,50,Farmers regain confidence; though the public sees it as a waste of resources.,Farmers express their discontent; leading to shortages in some areas.,
23,,,Propaganda Division ,Announce that the leader has invented a “new meditation technique”,Yes,No,5,10,0,10,-10,-5,50,The people are impressed by this supposed wisdom; despite a few amused smiles.,The public openly mocks this announcement; which strongly irritates the ministry.,
24,,,Propaganda Division ,Publish study claiming that the Leader “possesses an innate superior intellect”,Yes,No,-10,10,10,10,-10,-5,50,The public; though skeptical; is forced to acknowledge this myth to avoid repercussions.,The council sees this as an insult; leading to a smear campaign against dissenters.,
25,,,Propaganda Division ,Require all school textbooks to mention the Leader's date of birth,Yes,No,-10,5,0,10,-10,-5,50,Textbooks are modified; but teachers notice the absurdity of this constant glorification.,The ministry threatens reluctant teachers; creating tensions in the educational sector.,
26,,,Propaganda Division ,Demand the broadcasting of a documentary affirming that the leader runs faster than any athlete.,Yes,No,-5,5,10,10,-5,-10,50,Sports propaganda temporarily increases enthusiasm; but the people are doubtful.,Athletes openly express frustration; and some refuse to participate in official competitions.,
